VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
Drone1	1644860788048	-61.7965	20.1344	-18.6362	0.998653	0.00754246	0.0495286	-0.013528	img_Drone1__0_1644860788573260900.png
Drone1	1644860788105	-62.4249	20.3379	-18.8067	0.998648	0.00765041	0.0495719	-0.013651	img_Drone1__0_1644860788629726900.png
Drone1	1644860788162	-63.0541	20.5416	-18.9773	0.998644	0.00771977	0.0496152	-0.0137685	img_Drone1__0_1644860788684394400.png
Drone1	1644860788216	-63.6508	20.7347	-19.1387	0.998641	0.00776541	0.0496349	-0.0138742	img_Drone1__0_1644860788739824100.png
Drone1	1644860788273	-64.2813	20.9389	-19.3092	0.998639	0.00776722	0.0496352	-0.013979	img_Drone1__0_1644860788795800000.png
Drone1	1644860788327	-64.8793	21.1325	-19.4705	0.998642	0.00775565	0.0495637	-0.0140675	img_Drone1__0_1644860788851114600.png
Drone1	1644860788405	-65.7441	21.4125	-19.7036	0.998648	0.00775784	0.0494163	-0.0141756	img_Drone1__0_1644860788928998500.png
Drone1	1644860788459	-66.3436	21.6067	-19.8649	0.99865	0.00771014	0.049365	-0.014233	img_Drone1__0_1644860788982243000.png
Drone1	1644860788513	-66.9436	21.801	-20.0261	0.998651	0.0076504	0.049326	-0.0142768	img_Drone1__0_1644860789036006400.png
Drone1	1644860788564	-67.5108	21.9847	-20.1784	0.998654	0.00759591	0.0492827	-0.014308	img_Drone1__0_1644860789089327700.png
Drone1	1644860788618	-68.112	22.1794	-20.3397	0.998654	0.00757846	0.0492697	-0.0143331	img_Drone1__0_1644860789142041900.png
Drone1	1644860788672	-68.7137	22.3743	-20.5009	0.998651	0.00756878	0.0493259	-0.014349	img_Drone1__0_1644860789195001600.png
Drone1	1644860788726	-69.316	22.5694	-20.6621	0.99865	0.00753239	0.0493436	-0.0143558	img_Drone1__0_1644860789249322300.png
Drone1	1644860788780	-69.9189	22.7647	-20.8234	0.998651	0.00748288	0.0493284	-0.0143559	img_Drone1__0_1644860789303242600.png
Drone1	1644860788834	-70.5223	22.9601	-20.9846	0.998654	0.00745428	0.0492761	-0.0143516	img_Drone1__0_1644860789357973500.png
Drone1	1644860788888	-71.1263	23.1558	-21.1458	0.998658	0.00745534	0.0492071	-0.014341	img_Drone1__0_1644860789411040800.png
Drone1	1644860788939	-71.6972	23.3407	-21.2981	0.99866	0.00745902	0.0491688	-0.0143255	img_Drone1__0_1644860789464241500.png
Drone1	1644860788993	-72.3022	23.5367	-21.4593	0.998661	0.00746805	0.0491426	-0.0143057	img_Drone1__0_1644860789516485200.png
Drone1	1644860789044	-72.8742	23.722	-21.6116	0.998665	0.00745303	0.0490878	-0.0142832	img_Drone1__0_1644860789569692800.png
Drone1	1644860789095	-73.4465	23.9075	-21.7638	0.99867	0.00741982	0.0489982	-0.0142586	img_Drone1__0_1644860789620781200.png
